step,cloud_tpu_step_time_seconds,cloud_tpu_compile_time_seconds,cloud_tpu_device_execution_time_seconds,cloud_tpu_samples_per_second,cloud_tpu_hbm_used_bytes,cloud_tpu_hbm_capacity_bytes,cloud_tpu_hbm_utilization_ratio
0,0.17302580700015824,0.17302580700015824,0.17302580700015824,184.94350961166583,1681920,16909336064,9.94669449843634e-05
1,0.00020089099962206092,0.0,0.00020089099962206092,159290.36173946096,1681920,16909336064,9.94669449843634e-05
2,0.00017707999995764112,0.0,0.00017707999995764112,180709.28398268943,1681920,16909336064,9.94669449843634e-05
3,0.0001727599992591422,0.0,0.0001727599992591422,185228.06284572618,1681920,16909336064,9.94669449843634e-05
4,0.0001717709992590244,0.0,0.0001717709992590244,186294.54412001857,1681920,16909336064,9.94669449843634e-05
5,0.0001739999997880659,0.0,0.0001739999997880659,183908.0462010137,1681920,16909336064,9.94669449843634e-05
6,0.00020391100042616017,0.0,0.00020391100042616017,156931.20985685996,1681920,16909336064,9.94669449843634e-05
7,0.00017443899923819117,0.0,0.00017443899923819117,183445.21660723913,1681920,16909336064,9.94669449843634e-05
8,0.0001786499997251667,0.0,0.0001786499997251667,179121.1869534199,1681920,16909336064,9.94669449843634e-05
9,0.00017202999970322708,0.0,0.00017202999970322708,186014.06763473776,1681920,16909336064,9.94669449843634e-05
